"Playoffs","PlayoffLevelOpponent","Date","Year","Teams","W.L","MIN","PTS","FGM","FGA","FGperc","ThreePM","ThreePA","ThreePerc","FTM","FTA","FTperc","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PlusMinus"
1,1,"19-Jun",2016," GSW vs. CLE","L",39,17,6,19,31.6,4,14,28.6,1,1,100,0,5,5,2,1,1,4,4,-3
1,1,"16-Jun",2016," GSW @ CLE","L",35,30,8,20,40,6,13,46.2,8,9,88.9,0,2,2,1,1,0,4,6,-11
1,1,"13-Jun",2016," GSW vs. CLE","L",40,25,8,21,38.1,5,15,33.3,4,4,100,2,5,7,4,0,3,4,2,-6
1,1,"10-Jun",2016," GSW @ CLE","W",40,38,11,25,44,7,13,53.8,9,10,90,3,2,5,6,2,0,3,3,10
1,1,"8-Jun",2016," GSW @ CLE","L",31,19,6,13,46.2,3,9,33.3,4,4,100,1,0,1,3,2,0,6,4,-22
1,1,"5-Jun",2016," GSW vs. CLE","W",25,18,7,11,63.6,4,8,50,0,0,NA,1,8,9,4,0,1,4,4,25
1,1,"2-Jun",2016," GSW vs. CLE","W",36,11,4,15,26.7,3,8,37.5,0,0,NA,1,4,5,6,0,0,5,2,-1
1,1,"30-May",2016," GSW vs. OKC","W",40,36,13,24,54.2,7,12,58.3,3,3,100,1,4,5,8,0,0,3,1,18
1,1,"28-May",2016," GSW @ OKC","W",41,31,9,22,40.9,6,14,42.9,7,9,77.8,2,8,10,9,2,0,3,3,12
1,1,"26-May",2016," GSW vs. OKC","W",37,31,9,20,45,3,8,37.5,10,10,100,0,7,7,6,5,0,5,0,6
1,1,"24-May",2016," GSW @ OKC","L",39,19,6,20,30,2,10,20,5,7,71.4,0,5,5,5,2,0,6,2,-19
1,1,"22-May",2016," GSW @ OKC","L",30,24,7,17,41.2,3,11,27.3,7,8,87.5,0,5,5,3,2,0,1,1,-39
1,1,"18-May",2016," GSW vs. OKC","W",30,28,9,15,60,5,8,62.5,5,5,100,0,2,2,3,1,0,3,0,24
1,1,"16-May",2016," GSW vs. OKC","L",40,26,9,22,40.9,6,14,42.9,2,2,100,1,9,10,7,3,0,7,3,-6
1,1,"11-May",2016," GSW vs. POR","W",36,29,10,20,50,5,11,45.5,4,4,100,0,5,5,11,1,0,4,2,10
1,1,"9-May",2016," GSW @ POR","W",37,40,16,32,50,5,16,31.3,3,3,100,1,8,9,8,0,0,4,2,21
1,1,"24-Apr",2016," GSW @ HOU","W",19,6,2,9,22.2,1,7,14.3,1,1,100,0,0,0,5,1,0,5,0,0
1,1,"16-Apr",2016," GSW vs. HOU","W",20,24,8,13,61.5,5,7,71.4,3,3,100,1,6,7,2,3,0,4,0,28
0,1,"13-Apr",2016," GSW vs. MEM","W",30,46,15,24,62.5,10,19,52.6,6,6,100,1,3,4,6,2,0,2,2,19
0,1,"10-Apr",2016," GSW @ SAS","W",35,37,13,22,59.1,4,9,44.4,7,7,100,0,5,5,5,2,0,4,4,7
0,1,"9-Apr",2016," GSW @ MEM","W",34,17,7,22,31.8,3,14,21.4,0,0,NA,0,9,9,8,1,0,2,1,10
0,1,"7-Apr",2016," GSW vs. SAS","W",36,27,11,19,57.9,3,7,42.9,2,2,100,0,5,5,9,2,0,3,2,14
0,0,"5-Apr",2016," GSW vs. MIN","L",43,21,7,25,28,4,14,28.6,3,3,100,2,4,6,15,3,0,3,4,3
0,1,"3-Apr",2016," GSW vs. POR","W",35,39,13,21,61.9,9,13,69.2,4,4,100,2,4,6,7,2,1,4,2,16
0,1,"1-Apr",2016," GSW vs. BOS","L",37,29,9,19,47.4,8,14,57.1,3,3,100,0,5,5,6,1,0,9,2,-1
0,0,"30-Mar",2016," GSW @ UTA","W",42,31,11,23,47.8,5,10,50,4,5,80,2,5,7,4,2,0,5,4,6
0,0,"29-Mar",2016," GSW vs. WAS","W",35,26,9,20,45,6,8,75,2,2,100,0,7,7,7,5,0,5,3,15
0,0,"27-Mar",2016," GSW vs. PHI","W",33,20,7,16,43.8,2,9,22.2,4,5,80,0,3,3,8,4,0,4,0,4
